SKU,型号P/N,一级分类,分类路径,商品标题,单价USD,销量原文,销量(数值),评论数,标签(热门/新品),库存状态,可选配置,特性标签,主图URL,商品页URL,抓取日期,来源分类页
162632,PSU-500W-DC,Switches,Switches > Enterprise Switches,"Hot-swappable DC Power Module 500W, for S3410-24TS-P, S3410-48TS-P, S5810-48TS-P",609.0,42 Sold,42,1,,,,500W | -48V to -60VDC | Hot-swappable | Redundant,https://resource.fs.com/mall/mainImg/202307171118591ri7f4.jpg,https://www.fs.com/products/162632.html,2026-09-02,https://www.fs.com/c/enterprise-switches-3079
334613,S5440L-24P,Switches,Switches > Enterprise Switches,"S5440L-24P, 24 x 1Gb RJ45, 6 x 25Gb SFP28, L3 Managed PoE+ Switch",1249.0,40 Sold,40,1,,,,L3 PoE+ | VXLAN | BGP | 1G RJ45 | MLAG,https://resource.fs.com/mall/mainImg/800x800/20250924185828mw6hsy.jpg,https://www.fs.com/products/334613.html,2026-09-02,https://www.fs.com/c/enterprise-switches-3079
396009,DIN-Rail-PSU-75W-HE,Switches,Switches > Industrial Ethernet Switches,75W Ultra Slim DIN Rail High-End Industrial Power Supply,49.0,39 Sold,39,,,,"75W, 48V / 75W, 12V",75W | 48 to 56 VDC | -40 to 85°C | Metal Housing,https://resource.fs.com/mall/mainImg/800x800/20260422155130w7px5c.jpg,https://www.fs.com/products/396009.html,2026-09-02,https://www.fs.com/c/industrial-ethernet-switches-4073
188837,NSG-3230,Switches,Switches > Enterprise Switches (Routers&Firewalls),"NSG-3230, 8 x 1Gb RJ45, 8 x 1Gb SFP and 2 x 10Gb SFP+, Next-Generation Firewall",4061.0,38 Sold,38,,,,,10 Gbps FW Throughput | 2 Gbps TP Throughput | 1U Rackmount,https://resource.fs.com/mall/mainImg/20230321144859xy1mod.jpg,https://www.fs.com/products/188837.html,2026-09-02,https://www.fs.com/c/enterprise-switches-3079
110484,NC8200-16Q,Switches,Switches > Data Center Switches,"NC8200-16Q, 16 x 40Gb QSFP+ Line Card for Chassis Switch NC8200-4TD",2186.0,37 Sold,37,28,,,,TD3-X7 | EVPN-VXLAN | Stacking | MLAG,https://resource.fs.com/mall/products/800x800/110484.main.jpg,https://www.fs.com/products/110484.html,2026-09-02,https://www.fs.com/c/data-center-switches-3404
162633,FAN-S5860-20SQ,Switches,Switches > Enterprise Switches,"Hot-swappable Fan Module, for the S5860-20SQ",86.0,35 Sold,35,1,,,,Front-to-Back Airflow | Redundant,https://resource.fs.com/mall/mainImg/202306141814094bcque.jpg,https://www.fs.com/products/162633.html,2026-09-02,https://www.fs.com/c/enterprise-switches-3079
369053,S5440-48MU,Switches,Switches > Enterprise Switches,"S5440-48MU, 40 x 2.5Gb RJ45, 8 x 10Gb RJ45, 4 x 25Gb SFP28, 2 x 40G QSFP+, L3 Managed PoE++ Switch",3369.0,32 Sold,32,,,,,L3 PoE++ | EVPN-VXLAN | 10G RJ45 Multi. | MLAG,https://resource.fs.com/mall/mainImg/800x800/20260228113018dnsmvh.jpg,https://www.fs.com/products/369053.html,2026-09-02,https://www.fs.com/c/enterprise-switches-3079
115396,PSU-550W-AC,Switches,Switches > Data Center Switches,"Hot-swappable AC Power Module 550W, for N5860-48SC, N8560-48BC and N8560-32C",659.0,30 Sold,30,4,,,,3.5A-7.2A | 100-240V,https://resource.fs.com/mall/products/800x800/115396.main.jpg,https://www.fs.com/products/115396.html,2026-09-02,https://www.fs.com/c/data-center-switches-3404
110487,NC8400-32C,Switches,Switches > Data Center Switches,"NC8400-32C, 32 x 100Gb QSFP28 Line Card for Chassis Switch NC8400-4TH",4269.0,29 Sold,29,7,,,,TH3 | RoCEv2 | PFC | ECN,https://resource.fs.com/mall/mainImg/20230803103919brdbob.jpg,https://www.fs.com/products/110487.html,2026-09-02,https://www.fs.com/c/data-center-switches-3404
250955,N8650-64OD,Switches,Switches > PicOS® Data Center Switches,"N8650-64OD, 64 x 800Gb OSFP, PicOS®, Data Center Switch",44600.0,28 Sold,28,,,,,TH5 | RoCEv2 | GLB*/DLB | Spine/Leaf,https://resource.fs.com/mall/mainImg/800x800/20260507142444s4ogri.jpg,https://www.fs.com/products/250955.html,2026-09-02,https://www.fs.com/c/picos-data-center-switches-5125
309267,N8520-32D,Switches,Switches > PicOS® Data Center Switches,"N8520-32D, 32 x 400Gb QSFP-DD, PicOS®, Data Center Switch",22399.0,27 Sold,27,,,,,TD4-X11 | EVPN | MLAG | RoCEv2,https://resource.fs.com/mall/mainImg/800x800/20250707145340kj97oc.jpg,https://www.fs.com/products/309267.html,2026-09-02,https://www.fs.com/c/picos-data-center-switches-5125
162630,PSU-70W-DC,Switches,Switches > Enterprise Switches,"Hot-swappable DC Power Module, for S3910-24TS, S3910-48TS, S5810-28FS, S5810-48TS, S5810-28TS",299.0,27 Sold,27,1,,,,70W | -48V to -60VDC | Redundant,https://resource.fs.com/mall/mainImg/2023071710220941enm6.jpg,https://www.fs.com/products/162630.html,2026-09-02,https://www.fs.com/c/enterprise-switches-3079
108698,PSU-440W-AC,Switches,Switches > Enterprise Switches,"Hot-swappable AC Power Module 440W, for S3410-24TS-P, S3410-48TS-P, S5810-48TS-P",309.0,26 Sold,26,1,,,,440W | 90-264VAC | Hot-swappable | Redundant,https://resource.fs.com/mall/mainImg/20221201143908s7clcj.jpg,https://www.fs.com/products/108698.html,2026-09-02,https://www.fs.com/c/enterprise-switches-3079
331177,S3240C-24T,Switches,Switches > SME Switches,"S3240C-24T, 24 x 1Gb RJ45, 4 x 10Gb SFP+, L2+ Managed Switch",499.0,25 Sold,25,,,,,Realtek | 10G Uplink | Compact | LACP | OSPF,https://resource.fs.com/mall/mainImg/800x800/20250703172907ys4pgi.jpg,https://www.fs.com/products/331177.html,2026-09-02,https://www.fs.com/c/sme-switches-4235
396017,DIN-Rail-PSU-480W-HE,Switches,Switches > Industrial Ethernet Switches,480W Ultra Slim DIN Rail High-End Industrial Power Supply,219.0,25 Sold,25,,,,"480W, 48V / 240W, 48V / 960W, 48V",Modbus | PF>0.98 | 48 to 55 VDC | -40 to 85°C | Metal Housing,https://resource.fs.com/mall/mainImg/800x800/202604221610501usde3.jpg,https://www.fs.com/products/396017.html,2026-09-02,https://www.fs.com/c/industrial-ethernet-switches-4073
350243,S3260-24M,Switches,Switches > SME Switches,"S3260-24M, 24 x 2.5Gb RJ45, 6 x 10Gb SFP+, L2+ Managed Switch",699.0,24 Sold,24,,,,,Realtek | 10G Uplink | Multi-Gig | Stacking | OSPF,https://resource.fs.com/mall/mainImg/800x800/202509171116027gd2fg.jpg,https://www.fs.com/products/350243.html,2026-09-02,https://www.fs.com/c/sme-switches-4235
188838,NSG-5220,Switches,Switches > Enterprise Switches (Routers&Firewalls),"NSG-5220, 16 x 1Gb RJ45, 8 x 1Gb SFP and 2 x 10Gb SFP+, Next-Generation Firewall",6086.0,23 Sold,23,1,,,,20 Gbps FW Throughput | 3 Gbps TP Throughput | 1U Rackmount,https://resource.fs.com/mall/mainImg/20230321144606etxjnh.jpg,https://www.fs.com/products/188838.html,2026-09-02,https://www.fs.com/c/enterprise-switches-3079
